"zip","zip5","n","value","region","county.fips.character","county.name","state.name","state.fips.character","state.abb","city","state","latitude","longitude"
"30153","30153-1511",1,0,13233,"13233","polk","georgia","13","GA","Rockmart","GA",33.987497,-85.05508
"30157","30157-5269",2,3500,13223,"13223","paulding","georgia","13","GA","Dallas","GA",33.892504,-84.8346
"30165","30165-1026",1,0,13115,"13115","floyd","georgia","13","GA","Rome","GA",34.281423,-85.23825
"30165","30165-1721",1,0,13115,"13115","floyd","georgia","13","GA","Rome","GA",34.281423,-85.23825
"30168","30168-4510",1,0,13067,"13067","cobb","georgia","13","GA","Austell","GA",33.797456,-84.60621
"30179","30179-3629",1,0,13045,"13045","carroll","georgia","13","GA","Temple","GA",33.76324,-85.02667
"30179","30179-5079",1,0,13045,"13045","carroll","georgia","13","GA","Temple","GA",33.76324,-85.02667
"30180","30180",1,7000,13045,"13045","carroll","georgia","13","GA","Villa Rica","GA",33.718079,-84.92356
"30180","30180-4454",1,7000,13045,"13045","carroll","georgia","13","GA","Villa Rica","GA",33.718079,-84.92356
"30189","30189-5321",1,0,13057,"13057","cherokee","georgia","13","GA","Woodstock","GA",34.117565,-84.57176
"30213","30213-2717",1,7000,13121,"13121","fulton","georgia","13","GA","Fairburn","GA",33.565662,-84.59321
"30214","30214-2547",1,0,13113,"13113","fayette","georgia","13","GA","Fayetteville","GA",33.47875,-84.47668
"30215","30215-4901",1,3500,13113,"13113","fayette","georgia","13","GA","Fayetteville","GA",33.40147,-84.46271
"30228","30228-1837",1,0,13151,"13151","henry","georgia","13","GA","Hampton","GA",33.401827,-84.30152
"30236","30236",1,7000,13063,"13063","clayton","georgia","13","GA","Jonesboro","GA",33.528345,-84.33347
"30238","30238-3013",1,0,13063,"13063","clayton","georgia","13","GA","Jonesboro","GA",33.49348,-84.37871
"30240","30240",1,3500,13285,"13285","troup","georgia","13","GA","Lagrange","GA",33.029838,-85.0745
"30241","30241",1,0,13285,"13285","troup","georgia","13","GA","Lagrange","GA",33.036715,-84.98895
"30241","30241-1466",1,0,13285,"13285","troup","georgia","13","GA","Lagrange","GA",33.036715,-84.98895
"30253","30253",1,0,13151,"13151","henry","georgia","13","GA","Mcdonough","GA",33.455031,-84.17215
"30253","30253-5504",1,0,13151,"13151","henry","georgia","13","GA","Mcdonough","GA",33.455031,-84.17215
"30256","30256-5134",1,3500,13231,"13231","pike","georgia","13","GA","Meansville","GA",33.015476,-84.32187
"30259","30259-2658",1,0,13077,"13077","coweta","georgia","13","GA","Moreland","GA",33.277468,-84.75388
"30281","30281-2764",1,7000,13151,"13151","henry","georgia","13","GA","Stockbridge","GA",33.547578,-84.21809
"30288","30288-1950",1,0,13063,"13063","clayton","georgia","13","GA","Conley","GA",33.647275,-84.32753
"30296","30296-2154",1,0,13063,"13063","clayton","georgia","13","GA","Riverdale","GA",33.564711,-84.43987
"30305","30305-4238",1,0,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.830054,-84.38472
"30309","30309",1,0,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.794055,-84.38525
"30310","30310",1,7000,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.727807,-84.41983
"30311","30311",1,0,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.724907,-84.47131
"30313","30313",1,0,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.761223,-84.39599
"30315","30315-1966",1,7000,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.709595,-84.38365
"30318","30318",2,7000,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.786805,-84.437
"30318","30318-6036",1,7000,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.786805,-84.437
"30318","30318-7103",1,7000,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.786805,-84.437
"30331","30331-1970",1,3500,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.715558,-84.52728
"30331","30331-7139",1,0,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.715558,-84.52728
"30340","30340-2518",1,0,13089,"13089","dekalb","georgia","13","GA","Atlanta","GA",33.899381,-84.25367
"30340","30340-4509",1,7000,13089,"13089","dekalb","georgia","13","GA","Atlanta","GA",33.899381,-84.25367
"30340","30340-4610",1,0,13089,"13089","dekalb","georgia","13","GA","Atlanta","GA",33.899381,-84.25367
"30341","30341-5921",1,7000,13089,"13089","dekalb","georgia","13","GA","Atlanta","GA",33.888102,-84.29321
"30342","30342",1,3500,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.879003,-84.37203
"30350","30350-4848",1,0,13121,"13121","fulton","georgia","13","GA","Atlanta","GA",33.97285,-84.32775
"30360","30360",1,0,13089,"13089","dekalb","georgia","13","GA","Atlanta","GA",33.934536,-84.27215
"30360","30360-2029",1,0,13089,"13089","dekalb","georgia","13","GA","Atlanta","GA",33.934536,-84.27215
"30360","30360-2322",1,0,13089,"13089","dekalb","georgia","13","GA","Atlanta","GA",33.934536,-84.27215
"30401","30401-1014",1,0,13107,"13107","emanuel","georgia","13","GA","Swainsboro","GA",32.605196,-82.3391
"30411","30411-4541",1,0,13309,"13309","wheeler","georgia","13","GA","Alamo","GA",32.146031,-82.792
"30415","30415-6416",1,7000,13031,"13031","bulloch","georgia","13","GA","Brooklet","GA",32.3456,-81.62339
"30436","30436",1,0,13279,"13279","toombs","georgia","13","GA","Lyons","GA",32.177508,-82.30448
"30461","30461-7973",1,0,13031,"13031","bulloch","georgia","13","GA","Statesboro","GA",32.4906,-81.73166
"30504","30504-5605",1,7000,13139,"13139","hall","georgia","13","GA","Gainesville","GA",34.274355,-83.87003
"30504","30504-6068",2,0,13139,"13139","hall","georgia","13","GA","Gainesville","GA",34.274355,-83.87003
"30504","30504-8308",1,3500,13139,"13139","hall","georgia","13","GA","Gainesville","GA",34.274355,-83.87003
"30506","30506",1,0,13139,"13139","hall","georgia","13","GA","Gainesville","GA",34.346102,-83.901
"30506","30506-3083",1,7000,13139,"13139","hall","georgia","13","GA","Gainesville","GA",34.346102,-83.901
"30506","30506-4340",1,3500,13139,"13139","hall","georgia","13","GA","Gainesville","GA",34.346102,-83.901
"30507","30507-1721",1,3500,13139,"13139","hall","georgia","13","GA","Gainesville","GA",34.253714,-83.77348
"30507","30507-8354",1,0,13139,"13139","hall","georgia","13","GA","Gainesville","GA",34.253714,-83.77348
"30512","30512-5658",1,0,13291,"13291","union","georgia","13","GA","Blairsville","GA",34.875556,-84.00419
"30513","30513-4777",1,0,13111,"13111","fannin","georgia","13","GA","Blue Ridge","GA",34.851171,-84.32905
"30519","30519-4595",2,7000,13135,"13135","gwinnett","georgia","13","GA","Buford","GA",34.089419,-83.94701
