"fundCode","fundName"
"7548500","The Correll Scholars Program Scholarship Fund 16"
"7548500","The Correll Scholars Program Scholarship Fund 17"
"7548500","The Correll Scholars Program Scholarship Fund 18"
"7548500","The Correll Scholars Program Scholarship Fund 19"
"7548500","The Correll Scholars Program Scholarship Fund 20"
"7548500","The Correll Scholars Program Scholarship Fund 21"
"7548500","The Correll Scholars Program Scholarship Fund 22"
"7548500","The Correll Scholars Program Scholarship Fund 23"
"7548500","The Correll Scholars Program Scholarship Fund 24"
"7548700","Charles and Leigh Hoke Family Scholarship Fund"
"7548900","Thilo and Elizabeth Best Scholarship Fund"
"7549000","Quaile Family Scholarship Fund"
"7549100","Lisa and Ron Hinson Scholarship Fund"
"7549200","Georgia Power Foundation Scholarship Fund II"
"7549300","Philip Moye Avery Scholarship Fund"
"7549400","Judy and Charles Kutal Scholarship Fund"
"7549500","Mr. James Lamar (Jimbo) LaBoon III Scholarship Fund"
"7549700","Paris Family Endowed Scholarship Fund"
"7549800","Herman Peskin, MD and Sheldon M. Wolff, MD Memorial Scholarship Fund"
"7549900","Peter and Wendy Corry Scholarship Fund II"
"7550800","Elizabeth Dean Womack Georgia Commitment Scholarship Fund I"
"7550900","Elizabeth Dean Womack Georgia Commitment Scholarship Fund II"
"7551000","Hal and Jenny Greer Scholarship Fund"
"7551100","1G??T (One Generation at a Time) Scholarship Fund I"
"7551200","1G??T (One Generation at a Time) Scholarship Fund II"
"7551300","1G??T (One Generation at a Time) Scholarship Fund III"
"7551400","1G??T (One Generation at a Time) Scholarship Fund IV"
"7551500","1G??T (One Generation at a Time) Scholarship Fund V"
"7551600","Howard and Stephanie Bissell Family Scholarship Fund"
"7551800","Doris and Michael Boudens Scholarship Fund I"
"7551900","Doris and Michael Boudens Scholarship Fund II"
"7552000","Doris and Michael Boudens Scholarship Fund III"
"7552100","Doris and Michael Boudens Scholarship Fund IV"
"7552300","Kingsfield Family Scholarship Fund I"
"7552500","GEICO Student Scholarship Fund"
"7552600","Schmidt Family Scholarship Fund"
"7552700","Kingsfield Family Scholarship Fund II"
"7552800","The Thalia and Michael C. Carlos Woodward Academy Scholarship Fund I"
"7552900","The Thalia and Michael C. Carlos Woodward Academy Scholarship Fund II"
"7553100","Nalley Scholarship Fund"
"7553200","Bruckman Family GA Commitment Scholarship Fund"
"7553300","Hoyt Family Scholarship Fund"
"7553400","Stewart and Marwen McDowell UGA Scholarship Fund"
